"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 25th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-007 doi:https://doi.org/10.6068/DP18482C00B9825"
"ColumnCount:",18
"RowCount:",2479

"Institutions by State","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2009","2008","2007","2006"
"California Institute of Technology - California",35,35,35,34,34,34,34,33,33,33,33,33,32,
"University of Chicago - Illinois",34,33,33,32,32,32,32,32,31,31,28,28,28,29
"Johns Hopkins University - Maryland",34,33,33,33,32,32,31,30,30,29,29,29,28,28
"Duke University - North Carolina",34,33,33,31,31,31,31,30,30,30,,29,29,29
"Franklin W Olin College of Engineering - Massachusetts",34,34,34,33,32,32,32,31,33,32,32,32,33,33
"Rice University - Texas",34,33,33,33,32,32,31,31,30,30,30,30,29,29
"Massachusetts Institute of Technology - Massachusetts",34,34,34,33,33,33,33,33,32,32,32,31,31,30
"Harvey Mudd College - California",34,33,34,33,32,32,33,32,33,32,32,,,
"Harvard University - Massachusetts",33,33,33,32,32,32,32,32,32,31,31,31,31,31
"University of Pennsylvania - Pennsylvania",33,33,32,32,32,31,31,30,30,30,30,30,29,29
"Columbia University in the City of New York - New York",33,33,33,31,32,31,31,31,32,31,29,28,28,28
"Brown University - Rhode Island",33,33,32,31,31,31,30,29,29,29,29,28,28,27
"Northeastern University - Massachusetts",33,32,32,32,31,31,31,30,29,28,27,26,25,
"Webb Institute - New York",33,31,32,30,34,30,31,,,,,,,
"Vanderbilt University - Tennessee",33,33,33,32,32,32,32,32,32,31,30,30,29,28
"Yale University - Connecticut",33,33,33,32,32,31,31,32,31,32,30,30,29,29
"Carnegie Mellon University - Pennsylvania",33,33,33,32,31,31,30,30,29,29,29,29,28,28
"Washington University in St Louis - Missouri",33,33,32,32,32,32,32,32,32,32,32,31,30,30
"Northwestern University - Illinois",33,33,33,32,32,31,31,31,31,31,30,30,29,29
"Jewish Theological Seminary of America - New York",32,30,30,29,28,28,27,30,29,29,30,27,29,29
"University of Notre Dame - Indiana",32,32,33,32,32,32,32,32,31,32,31,31,31,31
"Haverford College - Pennsylvania",32,32,32,31,31,31,31,30,29,30,,,,
"Vassar College - New York",32,31,31,30,30,30,30,30,29,30,29,29,29,29
"Princeton University - New Jersey",32,33,32,31,32,32,31,31,31,31,31,31,30,30
"Amherst College - Massachusetts",32,30,31,32,31,31,30,30,30,30,30,29,29,28
"Hamilton College - New York",32,32,31,31,31,,30,29,29,28,29,26,,
"Cornell University - New York",32,32,32,31,31,30,30,30,30,29,29,29,28,28
"Dartmouth College - New Hampshire",32,32,31,30,30,30,30,30,30,30,29,29,28,28
"Washington and Lee University - Virginia",32,32,31,31,30,30,30,30,29,29,29,28,28,28
"Tufts University - Massachusetts",32,32,31,31,31,30,30,30,30,30,,,30,29
"Barnard College - New York",31,31,30,30,29,29,28,28,28,28,28,28,28,29
"Swarthmore College - Pennsylvania",31,31,31,31,30,30,29,31,30,30,30,28,27,28
"New York University - New York",31,30,29,29,29,29,28,28,28,29,27,28,28,27
"Brandeis University - Massachusetts",31,30,29,29,29,29,29,28,28,28,29,28,27,28
"Boston College - Massachusetts",31,31,31,31,30,30,30,30,29,29,29,28,28,27
"Middlebury College - Vermont",31,32,31,30,30,29,30,31,30,30,30,29,29,28
"Wellesley College - Massachusetts",31,31,30,30,30,27,30,29,29,29,29,28,28,29
"Stevens Institute of Technology - New Jersey",31,31,30,29,29,29,29,27,,,24,24,24,24
"Case Western Reserve University - Ohio",31,30,30,30,30,30,29,29,29,28,28,26,26,26
"University of Michigan-Ann Arbor - Michigan",31,31,30,30,29,29,29,28,28,29,27,27,27,27
"Emory University - Georgia",31,31,31,30,30,29,29,29,29,30,30,29,29,29
"Claremont McKenna College - California",31,31,31,30,31,29,30,29,29,29,29,,27,29
"Stanford University - California",31,32,32,32,31,31,31,31,31,30,30,30,29,28
"Colby College - Maine",31,31,31,31,30,29,28,28,29,28,28,28,28,27
"Georgetown University - Washington DC",31,31,31,30,30,30,30,29,29,30,26,28,29,27
"Georgia Institute of Technology-Main Campus - Georgia",31,29,31,30,30,30,30,28,28,27,27,27,27,25
"Tulane University of Louisiana - Louisiana",30,31,30,30,29,29,29,29,29,29,28,28,27,27
"Emory University-Oxford College - Georgia",30,30,30,29,28,27,,,,,,,,
"University of Maryland-College Park - Maryland",30,29,29,29,29,,,,,,,,,
"Davidson College - North Carolina",30,30,29,30,28,29,28,29,29,29,28,28,28,27
"George Washington University - Washington DC",30,30,29,29,27,27,27,27,27,27,26,26,,
"Boston University - Massachusetts",30,30,30,29,28,27,27,26,26,26,25,25,25,25
"Cooper Union for the Advancement of Science and Art - New York",30,30,31,28,,,30,29,29,29,29,27,29,29
"Kenyon College - Ohio",30,29,29,29,29,28,28,28,28,28,28,28,28,27
"Connecticut College - Connecticut",30,30,30,,,,,,,,,25,25,26
"University of Richmond - Virginia",30,30,30,29,29,29,29,28,28,28,26,26,27,26
"Colgate University - New York",30,31,31,31,30,30,29,30,30,30,29,29,29,28
"Villanova University - Pennsylvania",30,31,30,30,30,29,28,29,28,28,28,27,27,26
"University of Rochester - New York",30,30,30,29,,,,29,28,28,28,27,27,27
"University of Southern California - California",30,31,30,30,30,30,29,29,29,29,29,28,28,28
"University of Virginia-Main Campus - Virginia",30,30,30,29,29,29,28,29,28,28,27,27,,26
"Grinnell College - Iowa",30,31,30,30,30,30,30,28,29,28,28,28,29,29
"University of California-Berkeley - California",30,31,31,30,31,30,29,27,27,27,25,25,23,24
"Carleton College - Minnesota",30,31,31,31,30,29,30,29,29,29,29,29,29,28
"William & Mary - Virginia",30,30,30,29,28,28,29,28,28,28,27,27,27,27
"University of Florida - Florida",29,28,27,28,27,27,26,26,26,24,25,25,25,24
"Rensselaer Polytechnic Institute - New York",29,28,29,28,28,28,27,27,26,26,25,24,25,25
"Hillsdale College - Michigan",29,29,29,28,28,27,,,,,,,,
"University of Georgia - Georgia",29,27,27,26,26,26,26,26,25,25,24,25,24,24
"Furman University - South Carolina",29,28,28,26,,,,25,25,26,26,25,25,25
"Macalester College - Minnesota",29,29,29,29,29,29,28,29,28,28,29,28,28,27
"Lehigh University - Pennsylvania",29,29,29,29,29,29,28,28,28,28,,,,
"Whitman College - Washington",29,28,27,28,28,27,28,28,29,29,28,27,27,
"United States Air Force Academy - Colorado",29,28,28,28,27,29,28,29,29,28,26,28,28,27
"Southern Methodist University - Texas",29,29,29,28,28,28,28,27,27,27,25,25,25,24
"Binghamton University - New York",29,29,28,28,28,27,27,27,27,26,26,25,25,23
"College of the Holy Cross - Massachusetts",29,28,,,,,,,,,,,,
"Scripps College - California",29,30,30,29,28,29,28,29,28,29,27,28,28,27
"Colorado School of Mines - Colorado",28,27,28,28,29,28,28,27,27,27,26,26,25,24
"University of California-San Diego - California",28,26,27,27,27,28,27,25,23,25,24,23,23,23
"Bucknell University - Pennsylvania",28,28,28,28,28,28,28,27,27,27,27,27,27,27
"Santa Clara University - California",28,28,28,28,28,27,27,27,27,26,25,24,24,24
